# Generated from atlas label .xml files distributed with FSL,
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/,
10,Left Thalamus
11,Left Caudate
12,Left Putamen
13,Left Pallidum
17,Left Hippocampus
18,Left Amygdala
26,Left Accumbens
49,Right Thalamus
50,Right Caudate
51,Right Putamen
52,Right Pallidum
53,Right Hippocampus
54,Right Amygdala
58,Right Accumbens
101,Right Frontal Pole
201,Right Insular Cortex
301,Right Superior Frontal Gyrus
401,Right Middle Frontal Gyrus
501,Right Inferior Frontal Gyrus; pars triangularis
601,Right Inferior Frontal Gyrus; pars opercularis
701,Right Precentral Gyrus
801,Right Temporal Pole
901,Right Superior Temporal Gyrus; anterior division
1001,Right Superior Temporal Gyrus; posterior division
1101,Right Middle Temporal Gyrus; anterior division
1201,Right Middle Temporal Gyrus; posterior division
1301,Right Middle Temporal Gyrus; temporooccipital part
1401,Right Inferior Temporal Gyrus; anterior division
1501,Right Inferior Temporal Gyrus; posterior division
1601,Right Inferior Temporal Gyrus; temporooccipital part
1701,Right Postcentral Gyrus
1801,Right Superior Parietal Lobule
1901,Right Supramarginal Gyrus; anterior division
2001,Right Supramarginal Gyrus; posterior division
2101,Right Angular Gyrus
2201,Right Lateral Occipital Cortex; superior division
2301,Right Lateral Occipital Cortex; inferior division
2401,Right Intracalcarine Cortex
2501,Right Frontal Medial Cortex
2601,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
2701,Right Subcallosal Cortex
2801,Right Paracingulate Gyrus
2901,Right Cingulate Gyrus; anterior division
3001,Right Cingulate Gyrus; posterior division
3101,Right Precuneous Cortex
3201,Right Cuneal Cortex
3301,Right Frontal Orbital Cortex
3401,Right Parahippocampal Gyrus; anterior division
3501,Right Parahippocampal Gyrus; posterior division
3601,Right Lingual Gyrus
3701,Right Temporal Fusiform Cortex; anterior division
3801,Right Temporal Fusiform Cortex; posterior division
3901,Right Temporal Occipital Fusiform Cortex
4001,Right Occipital Fusiform Gyrus
4101,Right Frontal Operculum Cortex
4201,Right Central Opercular Cortex
4301,Right Parietal Operculum Cortex
4401,Right Planum Polare
4501,Right Heschl's Gyrus (includes H1 and H2)
4601,Right Planum Temporale
4701,Right Supracalcarine Cortex
4801,Right Occipital Pole
102,Left Frontal Pole
202,Left Insular Cortex
302,Left Superior Frontal Gyrus
402,Left Middle Frontal Gyrus
502,Left Inferior Frontal Gyrus; pars triangularis
602,Left Inferior Frontal Gyrus; pars opercularis
702,Left Precentral Gyrus
802,Left Temporal Pole
902,Left Superior Temporal Gyrus; anterior division
1002,Left Superior Temporal Gyrus; posterior division
1102,Left Middle Temporal Gyrus; anterior division
1202,Left Middle Temporal Gyrus; posterior division
1302,Left Middle Temporal Gyrus; temporooccipital part
1402,Left Inferior Temporal Gyrus; anterior division
1502,Left Inferior Temporal Gyrus; posterior division
1602,Left Inferior Temporal Gyrus; temporooccipital part
1702,Left Postcentral Gyrus
1802,Left Superior Parietal Lobule
1902,Left Supramarginal Gyrus; anterior division
2002,Left Supramarginal Gyrus; posterior division
2102,Left Angular Gyrus
2202,Left Lateral Occipital Cortex; superior division
2302,Left Lateral Occipital Cortex; inferior division
2402,Left Intracalcarine Cortex
2502,Left Frontal Medial Cortex
2602,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
2702,Left Subcallosal Cortex
2802,Left Paracingulate Gyrus
2902,Left Cingulate Gyrus; anterior division
3002,Left Cingulate Gyrus; posterior division
3102,Left Precuneous Cortex
3202,Left Cuneal Cortex
3302,Left Frontal Orbital Cortex
3402,Left Parahippocampal Gyrus; anterior division
3502,Left Parahippocampal Gyrus; posterior division
3602,Left Lingual Gyrus
3702,Left Temporal Fusiform Cortex; anterior division
3802,Left Temporal Fusiform Cortex; posterior division
3902,Left Temporal Occipital Fusiform Cortex
4002,Left Occipital Fusiform Gyrus
4102,Left Frontal Operculum Cortex
4202,Left Central Opercular Cortex
4302,Left Parietal Operculum Cortex
4402,Left Planum Polare
4502,Left Heschl's Gyrus (includes H1 and H2)
4602,Left Planum Temporale
4702,Left Supracalcarine Cortex
4802,Left Occipital Pole
