"Phase","FLDNAME","TBLNAME","CRFNAME","TEXT","TYPE","LENGTH","CODE","UNITS","status"
"ADNI1","ID","AAL","","Record ID","N","38","""crfname"","""",""indexes"",""adni_aal_idx=TBLID,FLDID,TRANSNID"",""notnullcols"",""ID,USERID,USERDATE,USERNUM,TBLID,FLDID,TRANSNID,REASONID,CHANGE""","",""
"ADNI1","SX","AAL","","","N","10","","",""
"ADNI1","USERID","AAL","","","T","100","","",""
"ADNI1","USERDATE","AAL","","Date record created","S","0","","",""
"ADNI1","USERID2","AAL","","","T","100","","",""
"ADNI1","USERDATE2","AAL","","Date record last updated","S","0","","",""
"ADNI1","USERNUM","AAL","","","N","38","","",""
"ADNI1","TBLID","AAL","","","N","38","","",""
"ADNI1","FLDID","AAL","","","N","38","","",""
"ADNI1","TRANSNID","AAL","","","N","38","","",""
"ADNI1","RECID","AAL","","","N","38","","",""
"ADNI1","OLDVID","AAL","","","N","38","","",""
"ADNI1","NEWVID","AAL","","","N","38","","",""
"ADNI1","REASONID","AAL","","","N","38","","",""
"ADNI1","CHANGE","AAL","","","N","10","","",""
"ADNI1","ID","AALFLD","","Record ID","N","38","""crfname"","""",""indexes"",""adni_aalfld_idx=FLDNAME"",""notnullcols"",""ID,USERID,USERDATE,FLDNAME""","",""
"ADNI1","SX","AALFLD","","","N","10","","",""
"ADNI1","USERID","AALFLD","","","T","100","","",""
"ADNI1","USERDATE","AALFLD","","Date record created","S","0","","",""
"ADNI1","USERID2","AALFLD","","","T","100","","",""
"ADNI1","USERDATE2","AALFLD","","Date record last updated","S","0","","",""
"ADNI1","FLDNAME","AALFLD","","","T","10","","",""
"ADNI1","ID","AALMETA","","Record ID","N","38","""crfname"","""",""indexes"","""",""notnullcols"",""ID,USERID,USERDATE,TDATE,TDATENUM,TLOGID,STATUS,USERNUM,TBLID""","",""
"ADNI1","SX","AALMETA","","","N","10","","",""
"ADNI1","USERID","AALMETA","","","T","100","","",""
"ADNI1","USERDATE","AALMETA","","Date record created","S","0","","",""
"ADNI1","USERID2","AALMETA","","","T","100","","",""
"ADNI1","USERDATE2","AALMETA","","Date record last updated","S","0","","",""
"ADNI1","TDATE","AALMETA","","","S","0","","",""
"ADNI1","STATUS","AALMETA","","","T","2","","",""
"ADNI1","TDATENUM","AALMETA","","","N","38","","",""
"ADNI1","TLOGID","AALMETA","","","N","38","","",""
"ADNI1","RID","AALMETA","","Participant roster ID","N","38","","",""
"ADNI1","VISCODE","AALMETA","","Visit code","T","20","","",""
"ADNI1","ENTRY","AALMETA","","","N","10","","",""
"ADNI1","USERNUM","AALMETA","","","N","38","","",""
"ADNI1","TBLID","AALMETA","","","N","38","","",""
"ADNI1","RECID","AALMETA","","","N","38","","",""
"ADNI1","ID","AALREASON","","Record ID","N","38","""crfname"","""",""indexes"",""adni_aalreason_idx=REASON"",""notnullcols"",""ID,USERID,USERDATE,TYPE,REASON""","",""
"ADNI1","SX","AALREASON","","","N","10","","",""
"ADNI1","USERID","AALREASON","","","T","100","","",""
"ADNI1","USERDATE","AALREASON","","Date record created","S","0","","",""
"ADNI1","USERID2","AALREASON","","","T","100","","",""
"ADNI1","USERDATE2","AALREASON","","Date record last updated","S","0","","",""
"ADNI1","TYPE","AALREASON","","","N","10","","",""
"ADNI1","REASON","AALREASON","","","T","5000","","",""
"ADNI1","ID","AALTBL","","Record ID","N","38","""crfname"","""",""indexes"",""adni_aaltbl_idx=TBLNAME"",""notnullcols"",""ID,USERID,USERDATE,TBLNAME""","",""
"ADNI1","SX","AALTBL","","","N","10","","",""
"ADNI1","USERID","AALTBL","","","T","100","","",""
"ADNI1","USERDATE","AALTBL","","Date record created","S","0","","",""
"ADNI1","USERID","AALVALUE","","","T","100","","",""
"ADNI1","USERID2","AALTBL","","","T","100","","",""
"ADNI1","USERDATE2","AALTBL","","Date record last updated","S","0","","",""
"ADNI1","TBLNAME","AALTBL","","","T","30","","",""
"ADNI1","ID","AALUSER","","Record ID","N","38","""crfname"","""",""indexes"",""adni_aaluser_idx=USERNAME"",""notnullcols"",""ID,USERID,USERDATE,USERNAME""","",""
"ADNI1","SX","AALUSER","","","N","10","","",""
"ADNI1","USERID","AALUSER","","","T","100","","",""
"ADNI1","SX","AALVALUE","","","N","10","","",""
"ADNI1","USERDATE","AALUSER","","Date record created","S","0","","",""
