Subject ID	Slice Order Type
Sub_001	IA2
Sub_002	IA2
Sub_003	IA2
Sub_004	IA2
Sub_005	IA2
Sub_006	IA2
Sub_007	IA2
Sub_008	IA2
Sub_009	IA2
Sub_010	IA2
Sub_011	IA2
Sub_012	IA2
Sub_013	IA2
Sub_014	IA2
Sub_015	IA2
Sub_016	IA2
Sub_017	IA2
Sub_018	IA2
Sub_019	IA2
Sub_020	IA2
Sub_021	IA2
Sub_022	IA2
Sub_023	IA2
Sub_024	IA2
Sub_025	IA2
Sub_026	IA2
Sub_027	IA2
Sub_028	IA2
Sub_029	IA2
Sub_030	IA2
Sub_031	IA2
Sub_032	IA2
Sub_033	IA2
Sub_034	IA2
Sub_035	IA2
Sub_036	IA2
Sub_037	IA2
Sub_038	IA2
Sub_039	IA2
Sub_040	IA2
Sub_041	IA2
Sub_042	IA2
Sub_043	IA2
Sub_044	IA2
Sub_045	IA2
Sub_046	IA2
Sub_047	IA2
Sub_048	IA2
Sub_049	IA2
Sub_050	IA2
Sub_051	IA2
Sub_052	IA2
Sub_053	IA2
Sub_054	IA2
Sub_055	IA2
Sub_056	IA2
Sub_057	IA2
Sub_058	IA2
Sub_059	IA2
Sub_060	IA2
Sub_061	IA2
Sub_062	IA2
Sub_063	IA2
Sub_064	IA2
Sub_065	IA2
Sub_066	IA2
Sub_067	IA2
Sub_068	IA2
Sub_069	IA2
Sub_070	IA2
Sub_071	IA2
Sub_072	IA2
Sub_073	IA2
Sub_074	IA2
Sub_075	IA2
Sub_076	IA2
Sub_077	IA2
Sub_078	IA2
Sub_079	IA2
Sub_080	IA2
Sub_081	IA2
Sub_082	IA2
Sub_083	IA2
Sub_084	IA2
Sub_085	IA2
Sub_086	IA2
Sub_087	IA2
Sub_088	IA2
Sub_089	IA2
Sub_090	IA2
Sub_091	IA2
Sub_092	IA2
Sub_093	IA2
Sub_094	IA2
Sub_095	IA2
Sub_096	IA2
Sub_097	IA2
Sub_098	IA2
Sub_099	IA2
Sub_100	IA2
Sub_101	IA2
Sub_102	IA2
Sub_103	IA2
Sub_104	NA
Sub_105	IA2
Sub_106	IA2
Sub_107	IA2
Sub_108	IA2
Sub_109	IA2
Sub_110	IA2
Sub_111	IA2
Sub_112	IA2
Sub_113	IA2
Sub_114	IA2
Sub_115	IA2
Sub_116	IA2
Sub_117	IA2
Sub_118	IA2
Sub_119	IA2
Sub_120	IA2
Sub_121	IA2
Sub_122	IA2
Sub_123	IA2
Sub_124	IA2
Sub_125	IA2
Sub_126	IA2
Sub_127	IA2
Sub_128	IA2
Sub_129	IA2
Sub_130	IA2
Sub_131	IA2
Sub_132	IA2
Sub_133	IA2
Sub_134	IA2
Sub_135	IA2
Sub_136	IA2
Sub_137	IA2
Sub_138	IA2
Sub_139	IA2
Sub_140	IA2
Sub_141	IA2
Sub_142	IA2
Sub_143	IA2
Sub_144	IA2
Sub_145	IA2
Sub_146	IA2
Sub_147	IA2
Sub_148	IA2
Sub_149	IA2
Sub_150	IA2
Sub_151	IA2
Sub_152	IA2
Sub_153	IA2
Sub_154	IA2
Sub_155	IA2
Sub_156	IA2
Sub_157	IA2
Sub_158	IA2
Sub_159	IA2
Sub_160	IA2
Sub_161	IA2
Sub_162	IA2
Sub_163	IA2
Sub_164	IA2
Sub_165	IA2
Sub_166	IA2
Sub_167	IA2
Sub_168	IA2
Sub_169	IA2
Sub_170	IA2
Sub_171	IA2
Sub_172	IA2
Sub_173	IA2
Sub_174	IA2
Sub_175	IA2
Sub_176	IA2
Sub_177	IA2
Sub_178	IA2
Sub_179	IA2
Sub_180	IA2
Sub_181	IA2
Sub_182	IA2
Sub_183	IA2
Sub_184	IA2
Sub_185	IA2
Sub_186	IA2
Sub_187	IA2
Sub_188	IA2
Sub_189	IA2
Sub_190	IA2
Sub_191	IA2
Sub_192	IA2
Sub_193	IA2
Sub_194	IA2
Sub_195	IA2
Sub_196	IA2
Sub_197	IA2
Sub_198	IA2
Sub_199	IA2
Sub_200	IA2
Sub_201	IA2
Sub_202	IA2
Sub_203	IA2
Sub_204	IA2
Sub_205	IA2
Sub_206	IA2
Sub_207	NA
Sub_208	IA2
Sub_209	IA2
Sub_210	IA2
Sub_211	IA2
Sub_212	IA2
Sub_213	IA2
Sub_214	IA2
Sub_215	IA2
Sub_216	IA2
Sub_217	IA2
Sub_218	IA2
Sub_219	IA2
Sub_220	IA2
Sub_221	IA2
Sub_222	IA2
Sub_223	IA2
Sub_224	IA2
Sub_225	IA2
Sub_226	IA2
Sub_227	IA2
Sub_228	IA2
Sub_229	IA2
Sub_230	IA2
Sub_231	IA2
Sub_232	IA2
Sub_233	IA2
Sub_234	IA2
Sub_235	IA2
Sub_236	IA2
Sub_237	NA
Sub_238	IA2
Sub_239	IA2
Sub_240	IA2
Sub_241	IA2
Sub_242	IA2
Sub_243	IA2
Sub_244	IA2
Sub_245	NA
Sub_246	IA2
Sub_247	IA2
Sub_248	IA2
Sub_249	IA2
Sub_250	IA2
Sub_251	IA2
Sub_252	IA2
Sub_253	NA
Sub_254	IA2
Sub_255	IA2
Sub_256	IA2
Sub_257	IA2
Sub_258	IA2
Sub_259	IA2
Sub_260	IA2
Sub_261	IA2
Sub_262	IA2
Sub_263	IA2
Sub_264	IA2
Sub_265	IA2
Sub_266	NA
Sub_267	IA2
Sub_268	IA2
Sub_269	IA2
Sub_270	IA2
Sub_271	IA2
Sub_272	IA2
Sub_273	IA2
Sub_274	IA2
Sub_275	IA2
Sub_276	IA2
Sub_277	IA2
Sub_278	IA2
Sub_279	IA2
Sub_280	IA2
Sub_281	IA2
Sub_282	IA2
Sub_283	NA
Sub_284	NA
Sub_285	IA2
Sub_286	IA2
Sub_287	IA2
Sub_288	IA2
Sub_289	IA2
Sub_290	IA2
Sub_291	IA2
Sub_292	IA2
Sub_293	IA2
Sub_294	IA2
Sub_295	IA2
Sub_296	IA2
Sub_297	IA2
Sub_298	IA2
Sub_299	NA
Sub_300	NA
Sub_301	NA
Sub_302	IA2
Sub_303	IA2
Sub_304	NA
Sub_305	IA2
Sub_306	IA2
Sub_307	IA2
Sub_308	IA2
Sub_309	IA2
Sub_310	IA2
Sub_311	IA2
Sub_312	NA
Sub_313	IA2
Sub_314	IA2
Sub_315	NA
Sub_316	NA
Sub_317	IA2
Sub_318	NA
Sub_319	IA2
Sub_320	NA
Sub_321	NA
Sub_322	NA
Sub_323	NA
Sub_324	NA
Sub_325	NA
Sub_326	NA
Sub_327	NA
Sub_328	NA
Sub_329	NA
