Subject ID	Slice Order Type
Sub_001	No Need (MB)
Sub_002	No Need (MB)
Sub_003	No Need (MB)
Sub_004	No Need (MB)
Sub_005	No Need (MB)
Sub_006	No Need (MB)
Sub_007	No Need (MB)
Sub_008	No Need (MB)
Sub_009	No Need (MB)
Sub_010	No Need (MB)
Sub_011	No Need (MB)
Sub_012	No Need (MB)
Sub_013	No Need (MB)
Sub_014	No Need (MB)
Sub_015	No Need (MB)
Sub_016	No Need (MB)
Sub_017	No Need (MB)
Sub_018	No Need (MB)
Sub_019	No Need (MB)
Sub_020	No Need (MB)
Sub_021	No Need (MB)
Sub_022	No Need (MB)
Sub_023	No Need (MB)
Sub_024	No Need (MB)
Sub_025	No Need (MB)
Sub_026	No Need (MB)
Sub_027	No Need (MB)
Sub_028	No Need (MB)
Sub_029	No Need (MB)
Sub_030	No Need (MB)
Sub_031	No Need (MB)
Sub_032	No Need (MB)
Sub_033	No Need (MB)
Sub_034	No Need (MB)
Sub_035	No Need (MB)
Sub_036	No Need (MB)
Sub_037	No Need (MB)
Sub_038	No Need (MB)
Sub_039	No Need (MB)
Sub_040	No Need (MB)
Sub_041	No Need (MB)
Sub_042	No Need (MB)
Sub_043	No Need (MB)
Sub_044	No Need (MB)
Sub_045	No Need (MB)
Sub_046	No Need (MB)
Sub_047	No Need (MB)
Sub_048	No Need (MB)
Sub_049	No Need (MB)
Sub_050	No Need (MB)
Sub_051	No Need (MB)
Sub_052	No Need (MB)
Sub_053	No Need (MB)
Sub_054	No Need (MB)
Sub_055	No Need (MB)
Sub_056	No Need (MB)
Sub_057	No Need (MB)
Sub_058	No Need (MB)
Sub_059	No Need (MB)
Sub_060	No Need (MB)
Sub_061	No Need (MB)
Sub_062	No Need (MB)
Sub_063	No Need (MB)
Sub_064	No Need (MB)
Sub_065	No Need (MB)
Sub_066	No Need (MB)
Sub_067	No Need (MB)
Sub_068	No Need (MB)
Sub_069	No Need (MB)
Sub_070	No Need (MB)
Sub_071	No Need (MB)
Sub_072	No Need (MB)
Sub_073	No Need (MB)
Sub_074	No Need (MB)
Sub_075	No Need (MB)
Sub_076	No Need (MB)
Sub_077	No Need (MB)
Sub_078	No Need (MB)
Sub_079	No Need (MB)
Sub_080	No Need (MB)
Sub_081	No Need (MB)
Sub_082	No Need (MB)
Sub_083	No Need (MB)
Sub_084	No Need (MB)
Sub_085	No Need (MB)
Sub_086	No Need (MB)
Sub_087	No Need (MB)
Sub_088	No Need (MB)
Sub_089	No Need (MB)
Sub_090	No Need (MB)
Sub_091	No Need (MB)
Sub_092	No Need (MB)
Sub_093	No Need (MB)
Sub_094	No Need (MB)
Sub_095	No Need (MB)
Sub_096	No Need (MB)
Sub_097	No Need (MB)
Sub_098	No Need (MB)
Sub_099	No Need (MB)
Sub_100	No Need (MB)
Sub_101	No Need (MB)
Sub_102	No Need (MB)
Sub_103	No Need (MB)
Sub_104	No Need (MB)
Sub_105	No Need (MB)
Sub_106	No Need (MB)
Sub_107	No Need (MB)
Sub_108	No Need (MB)
Sub_109	No Need (MB)
Sub_110	No Need (MB)
Sub_111	No Need (MB)
Sub_112	No Need (MB)
Sub_113	No Need (MB)
Sub_114	No Need (MB)
Sub_115	No Need (MB)
Sub_116	No Need (MB)
Sub_117	No Need (MB)
Sub_118	No Need (MB)
Sub_119	No Need (MB)
Sub_120	No Need (MB)
Sub_121	No Need (MB)
Sub_122	No Need (MB)
Sub_123	No Need (MB)
Sub_124	No Need (MB)
Sub_125	No Need (MB)
Sub_126	No Need (MB)
Sub_127	No Need (MB)
Sub_128	No Need (MB)
Sub_129	No Need (MB)
Sub_130	No Need (MB)
Sub_131	No Need (MB)
Sub_132	No Need (MB)
Sub_133	No Need (MB)
Sub_134	No Need (MB)
Sub_135	No Need (MB)
Sub_136	No Need (MB)
Sub_137	No Need (MB)
Sub_138	No Need (MB)
Sub_139	No Need (MB)
Sub_140	No Need (MB)
Sub_141	No Need (MB)
Sub_142	No Need (MB)
Sub_143	No Need (MB)
Sub_144	No Need (MB)
Sub_145	No Need (MB)
Sub_146	No Need (MB)
Sub_147	No Need (MB)
