Subject ID	Slice Order Type
Sub_001	IA
Sub_002	IA
Sub_003	IA
Sub_004	IA
Sub_005	IA
Sub_006	IA
Sub_007	IA
Sub_008	IA
Sub_009	IA
Sub_010	IA
Sub_011	IA
Sub_012	IA
Sub_013	IA
Sub_014	IA
Sub_015	IA
Sub_016	IA
Sub_017	IA
Sub_018	IA
Sub_019	IA
Sub_020	IA
Sub_021	IA
Sub_022	IA
Sub_023	IA
Sub_024	IA
Sub_025	IA
Sub_026	IA
Sub_027	IA
Sub_028	IA
Sub_029	IA
Sub_030	IA
Sub_031	IA
Sub_032	IA
Sub_033	IA
Sub_034	IA
Sub_035	IA
Sub_036	IA
Sub_037	IA
Sub_038	IA
Sub_039	IA
Sub_040	IA
Sub_041	IA
Sub_042	IA
Sub_043	IA
Sub_044	IA
Sub_045	IA
Sub_046	IA
Sub_047	IA
Sub_048	IA
Sub_049	IA
Sub_050	IA
Sub_051	IA
Sub_052	IA
Sub_053	IA
Sub_054	IA
Sub_055	IA
Sub_056	IA
Sub_057	IA
Sub_058	IA
Sub_059	IA
Sub_060	IA
Sub_061	IA
Sub_062	IA
Sub_063	IA
Sub_064	IA
Sub_065	IA
Sub_066	IA
Sub_067	IA
Sub_068	IA
Sub_069	IA
Sub_070	IA
Sub_071	IA
Sub_072	IA
Sub_073	IA
Sub_074	IA
Sub_075	IA
Sub_076	IA
Sub_077	IA
Sub_078	IA
Sub_079	IA
Sub_080	IA
Sub_081	IA
Sub_082	IA
Sub_083	IA
Sub_084	IA
Sub_085	IA
Sub_086	IA
Sub_087	IA
Sub_088	IA
Sub_089	IA
Sub_090	IA
Sub_091	IA
Sub_092	IA
Sub_093	IA
Sub_094	IA
Sub_095	IA
Sub_096	IA
Sub_097	IA
Sub_098	IA
Sub_099	IA
Sub_100	IA
Sub_101	IA
Sub_102	IA
Sub_103	IA
Sub_104	IA
Sub_105	IA
Sub_106	IA
Sub_107	IA
Sub_108	IA
Sub_109	IA
Sub_110	IA
Sub_111	IA
Sub_112	IA
Sub_113	IA
Sub_114	IA
Sub_115	IA
Sub_116	IA
Sub_117	IA
Sub_118	IA
Sub_119	IA
Sub_120	IA
Sub_121	IA
Sub_122	IA
Sub_123	IA
Sub_124	IA
Sub_125	IA
Sub_126	IA
Sub_127	IA
Sub_128	IA
Sub_129	IA
Sub_130	IA
Sub_131	IA
Sub_132	IA
Sub_133	IA
Sub_134	IA
Sub_135	IA
Sub_136	IA
Sub_137	IA
Sub_138	IA
Sub_139	IA
Sub_140	IA
Sub_141	IA
Sub_142	IA
Sub_143	IA
Sub_144	IA
Sub_145	IA
Sub_146	IA
Sub_147	IA
